id,voti,voti_nona,voti_solosindpres,idComune,value,desc,PRO_COM,PRO_COM_T,COMUNE,COMUNE_U,n,idpartizione,nraggrup,nraggrupmacro,nome,nome_breve,nome2,nome_breve2,nome_cand,cognome_cand,data_nascita_cand,luogo_nascita_cand,immagine,blocco_ins
2,3,0,0,110,110,CESSAPALOMBO,43011,043011,Cessapalombo,CESSAPALOMBO,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
6,12,0,0,110,110,CESSAPALOMBO,43011,043011,Cessapalombo,CESSAPALOMBO,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,1,0,0,110,110,CESSAPALOMBO,43011,043011,Cessapalombo,CESSAPALOMBO,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,1,0,0,110,110,CESSAPALOMBO,43011,043011,Cessapalombo,CESSAPALOMBO,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
8,1070,0,0,111,111,CINGOLI,43012,043012,Cingoli,CINGOLI,1,0,3,8,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio,Mangialardi,17/11/1964,Ancona,8.png,N
5,3800,0,0,111,111,CINGOLI,43012,043012,Cingoli,CINGOLI,2,0,7,5,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco,Acquaroli,25/09/1974,Macerata,5.png,N
7,183,0,0,111,111,CINGOLI,43012,043012,Cingoli,CINGOLI,3,0,4,7,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario,Mercorelli,06/02/1973,Macerata,7.png,N
2,12,0,0,111,111,CINGOLI,43012,043012,Cingoli,CINGOLI,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
6,45,0,0,111,111,CINGOLI,43012,043012,Cingoli,CINGOLI,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,47,0,0,111,111,CINGOLI,43012,043012,Cingoli,CINGOLI,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,19,0,0,111,111,CINGOLI,43012,043012,Cingoli,CINGOLI,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
8,5776,0,0,112,112,CIVITANOVA MARCHE,43013,043013,Civitanova Marche,CIVITANOVA MARCHE,1,0,3,8,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio,Mangialardi,17/11/1964,Ancona,8.png,N
5,10069,0,0,112,112,CIVITANOVA MARCHE,43013,043013,Civitanova Marche,CIVITANOVA MARCHE,2,0,7,5,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco,Acquaroli,25/09/1974,Macerata,5.png,N
7,1671,0,0,112,112,CIVITANOVA MARCHE,43013,043013,Civitanova Marche,CIVITANOVA MARCHE,3,0,4,7,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario,Mercorelli,06/02/1973,Macerata,7.png,N
2,124,0,0,112,112,CIVITANOVA MARCHE,43013,043013,Civitanova Marche,CIVITANOVA MARCHE,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
6,981,0,0,112,112,CIVITANOVA MARCHE,43013,043013,Civitanova Marche,CIVITANOVA MARCHE,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,250,0,0,112,112,CIVITANOVA MARCHE,43013,043013,Civitanova Marche,CIVITANOVA MARCHE,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,107,0,0,112,112,CIVITANOVA MARCHE,43013,043013,Civitanova Marche,CIVITANOVA MARCHE,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
