ags,ac,al,dv
07340224,4,60 bis 74,3.0
07340225,4,60 bis 74,5.3
07340228,5,75 und älter,1.8
08111000,2,19 bis 39,7.5
08115003,2,19 bis 39,2.5
08115028,2,19 bis 39,0.9
08115029,2,19 bis 39,2.5
08115041,1,unter 18,2.5
08115042,1,unter 18,2.5
08115044,1,unter 18,2.0
08115045,1,unter 18,1.6
08115050,1,unter 18,1.9
08115051,3,40 bis 59,1.5
08115052,1,unter 18,1.3
08115001,3,40 bis 59,0.8
08115054,3,40 bis 59,2.1
08115013,1,unter 18,2.8
08115015,1,unter 18,3.2
08115010,3,40 bis 59,3.0
08115021,1,unter 18,1.1
08115037,2,19 bis 39,2.4
08115002,3,40 bis 59,4.6
08115022,3,40 bis 59,1.5
08115024,1,unter 18,3.3
08115004,2,19 bis 39,1.9
08115016,1,unter 18,1.8
08115034,1,unter 18,2.3
08115053,1,unter 18,3.4
08115046,1,unter 18,1.1
08115048,3,40 bis 59,1.4
08116015,2,19 bis 39,0.9
08116019,2,19 bis 39,2.6
08116047,3,40 bis 59,1.8
08116072,3,40 bis 59,1.0
08116076,5,75 und älter,4.5
08116077,2,19 bis 39,2.4
08116078,2,19 bis 39,2.0
08116080,1,unter 18,1.7
08116081,3,40 bis 59,2.3
08116016,1,unter 18,1.6
08116033,4,60 bis 74,0.3
08116048,4,60 bis 74,4.0
08116018,1,unter 18,2.1
08116054,4,60 bis 74,1.1
08116079,3,40 bis 59,0.8
08116005,3,40 bis 59,3.5
08116006,3,40 bis 59,2.9
08116008,3,40 bis 59,1.7
08116041,2,19 bis 39,1.5
08116042,3,40 bis 59,2.0
08116063,3,40 bis 59,3.5
08116011,5,75 und älter,2.0
08116036,3,40 bis 59,2.3
08116046,3,40 bis 59,1.2
08116020,1,unter 18,1.2
08116022,3,40 bis 59,2.1
08116049,2,19 bis 39,1.1
08116050,1,unter 18,0.7
08116068,3,40 bis 59,1.7
08116073,3,40 bis 59,1.6
08116004,2,19 bis 39,1.9
08116014,3,40 bis 59,2.5
08116056,2,19 bis 39,1.7
08116007,5,75 und älter,1.3
08116027,5,75 und älter,2.3
08116037,1,unter 18,3.1
08116058,5,75 und älter,1.2
08116012,4,60 bis 74,1.3
08116029,1,unter 18,2.2
08116043,1,unter 18,0.5
08116053,1,unter 18,2.4
08116070,3,40 bis 59,1.2
08116035,3,40 bis 59,1.3
08116071,3,40 bis 59,0.6
08117010,1,unter 18,2.3
08117006,4,60 bis 74,1.4
08117014,5,75 und älter,2.2
08117018,5,75 und älter,1.1
08117044,3,40 bis 59,1.8
08117019,2,19 bis 39,1.1
08117037,1,unter 18,1.6
08117042,3,40 bis 59,1.4
08117007,5,75 und älter,3.8
08117024,2,19 bis 39,2.0
08117033,5,75 und älter,2.5
08117026,1,unter 18,0.8
08117043,5,75 und älter,1.0
08117053,3,40 bis 59,1.5
08117055,5,75 und älter,2.6
08117015,5,75 und älter,1.9
08117025,3,40 bis 59,1.4
08117049,1,unter 18,1.0
08117061,4,60 bis 74,1.6
08117016,4,60 bis 74,2.0
08117028,2,19 bis 39,1.6
08117031,3,40 bis 59,7.2
08117035,4,60 bis 74,3.2
08117058,5,75 und älter,2.0
08117001,4,60 bis 74,3.0
08117009,1,unter 18,1.3
08117011,1,unter 18,1.9
08117038,5,75 und älter,2.3
08117002,3,40 bis 59,4.1
08117012,5,75 und älter,2.6
08117017,1,unter 18,2.3
08117023,4,60 bis 74,1.3
08117029,3,40 bis 59,2.2
08117060,3,40 bis 59,2.2
08117003,3,40 bis 59,1.1
08117051,1,unter 18,1.4
08117020,4,60 bis 74,4.4
08117030,5,75 und älter,1.8
08118003,2,19 bis 39,0.8
08118011,1,unter 18,1.2
08118019,5,75 und älter,2.5
08118021,1,unter 18,1.6
08118046,2,19 bis 39,2.6
08118048,2,19 bis 39,3.2
08118050,3,40 bis 59,1.2
08118051,1,unter 18,1.2
08118060,5,75 und älter,1.0
08118076,1,unter 18,1.5
08118080,1,unter 18,2.1
08118081,1,unter 18,2.9
08118007,3,40 bis 59,1.5
08118016,3,40 bis 59,2.9
08118018,2,19 bis 39,3.1
08118028,1,unter 18,4.3
08118047,1,unter 18,1.2
08118053,1,unter 18,2.2
08118074,2,19 bis 39,1.9
08118071,4,60 bis 74,1.4
08118077,1,unter 18,1.8
08118079,1,unter 18,0.7
08118010,1,unter 18,1.3
08118015,3,40 bis 59,1.9
08118040,1,unter 18,4.1
08118063,3,40 bis 59,1.4
08118078,2,19 bis 39,0.7
08118001,1,unter 18,2.1
08118006,1,unter 18,2.1
08118014,1,unter 18,1.9
08118049,1,unter 18,1.9
08118027,1,unter 18,1.3
08118067,1,unter 18,2.3
08118054,3,40 bis 59,2.6
08118070,1,unter 18,2.2
08118012,1,unter 18,2.0
08118059,1,unter 18,2.9
08118068,1,unter 18,2.3
08118073,1,unter 18,2.1
08119001,1,unter 18,1.6
08119020,2,19 bis 39,1.0
08119041,3,40 bis 59,0.6
08119044,4,60 bis 74,1.2
08119061,4,60 bis 74,1.0
08119079,1,unter 18,1.3
08119089,1,unter 18,2.0
08119090,5,75 und älter,1.4
08119091,3,40 bis 59,1.4
08119093,3,40 bis 59,1.6
08119003,1,unter 18,2.2
08119004,3,40 bis 59,3.0
08119006,4,60 bis 74,1.6
08119008,1,unter 18,1.6
08119018,3,40 bis 59,2.4
08119038,1,unter 18,2.5
08119053,1,unter 18,1.3
08119083,4,60 bis 74,0.9
08119087,4,60 bis 74,0.5
08119055,5,75 und älter,0.8
08119076,3,40 bis 59,1.9
08119067,5,75 und älter,1.1
08119086,5,75 und älter,1.3
08119024,4,60 bis 74,3.7
08119069,4,60 bis 74,1.6
08119075,1,unter 18,1.0
08119037,4,60 bis 74,2.1
08119084,1,unter 18,0.8
08119042,1,unter 18,2.1
08119068,3,40 bis 59,1.1
08119085,2,19 bis 39,0.7
08121000,2,19 bis 39,4.4
08125007,3,40 bis 59,1.0
08125039,1,unter 18,1.3
08125058,3,40 bis 59,1.2
08125068,1,unter 18,1.3
08125107,4,60 bis 74,1.0
08125005,2,19 bis 39,2.8
08125078,1,unter 18,1.5
08125079,1,unter 18,2.6
08125006,4,60 bis 74,0.8
08125049,1,unter 18,4.3
08125087,3,40 bis 59,2.0
08125013,1,unter 18,1.8
08125017,1,unter 18,4.3
08125026,1,unter 18,1.8
08125034,1,unter 18,1.6
08125047,1,unter 18,3.7
08125030,5,75 und älter,1.0
08125094,3,40 bis 59,2.4
08125056,1,unter 18,1.2
08125066,1,unter 18,2.4
08125074,1,unter 18,2.4
08125048,3,40 bis 59,3.4
08125063,2,19 bis 39,1.9
08125084,3,40 bis 59,1.6
08125103,3,40 bis 59,1.7
08125027,2,19 bis 39,1.6
08125065,1,unter 18,0.7
08125096,1,unter 18,2.4
08125069,1,unter 18,2.0
08125111,1,unter 18,3.4
08125113,1,unter 18,2.5
08125038,3,40 bis 59,2.2
08125081,1,unter 18,3.1
08125108,4,60 bis 74,2.4
08125059,3,40 bis 59,2.5
08125110,3,40 bis 59,1.1
08125001,1,unter 18,1.5
08125008,5,75 und älter,2.1
08125046,3,40 bis 59,2.7
08125098,3,40 bis 59,1.0
08125061,1,unter 18,2.2
08125086,1,unter 18,2.0
08125021,4,60 bis 74,0.7
08125024,1,unter 18,3.1
08125057,1,unter 18,4.8
08125102,1,unter 18,1.6
08126011,1,unter 18,1.4
08126072,3,40 bis 59,2.0
08126047,2,19 bis 39,2.3
08126058,1,unter 18,3.3
08126085,2,19 bis 39,2.4
08126020,1,unter 18,2.3
08126045,3,40 bis 59,2.9
08126056,4,60 bis 74,1.2
08126039,3,40 bis 59,0.8
08126046,2,19 bis 39,2.2
08126028,1,unter 18,1.7
08126060,3,40 bis 59,1.7
08126086,1,unter 18,0.8
08126066,2,19 bis 39,1.1
08126069,1,unter 18,2.6
08126094,3,40 bis 59,3.1
08127008,1,unter 18,3.0
08127052,1,unter 18,1.8
08127075,1,unter 18,0.9
08127009,4,60 bis 74,1.9
08127086,1,unter 18,2.0
08127014,2,19 bis 39,1.8
08127073,1,unter 18,2.1
08127103,1,unter 18,2.3
08127104,4,60 bis 74,1.9
08127101,1,unter 18,2.1
08127102,3,40 bis 59,1.2
08127032,4,60 bis 74,0.9
08127047,5,75 und älter,1.5
08127043,1,unter 18,3.3
08127089,4,60 bis 74,1.9
08127099,2,19 bis 39,4.8
08127023,4,60 bis 74,2.2
08127025,1,unter 18,1.4
08127062,4,60 bis 74,3.6
08127079,1,unter 18,1.4
08127012,3,40 bis 59,1.8
08127013,3,40 bis 59,2.2
08127063,2,19 bis 39,2.2
08127046,2,19 bis 39,1.6
08127071,1,unter 18,2.9
08127091,2,19 bis 39,2.2
08127056,4,60 bis 74,1.6
08127059,4,60 bis 74,2.3
08127076,2,19 bis 39,1.9
08127100,1,unter 18,1.3
08128020,4,60 bis 74,2.2
08128039,4,60 bis 74,3.0
08128064,4,60 bis 74,3.4
08128082,4,60 bis 74,1.9
08128126,4,60 bis 74,0.7
08128131,4,60 bis 74,2.3
08128139,4,60 bis 74,2.8
08128006,1,unter 18,3.4
08128007,5,75 und älter,1.0
08128058,4,60 bis 74,2.1
08128014,4,60 bis 74,2.7
08128138,3,40 bis 59,2.2
08128047,3,40 bis 59,2.5
08128137,4,60 bis 74,1.3
08128045,4,60 bis 74,3.2
08128061,4,60 bis 74,2.2
08128115,4,60 bis 74,1.0
08128128,4,60 bis 74,4.5
08135010,4,60 bis 74,1.9
08135015,3,40 bis 59,1.1
08135020,1,unter 18,0.5
08135025,5,75 und älter,2.7
08135032,4,60 bis 74,1.1
08135016,1,unter 18,1.2
08135021,5,75 und älter,2.3
08135019,1,unter 18,0.8
08135026,5,75 und älter,1.1
08135027,4,60 bis 74,1.6
08135031,1,unter 18,1.0
08136002,3,40 bis 59,1.8
08136027,4,60 bis 74,2.6
08136042,1,unter 18,0.2
08136045,4,60 bis 74,0.8
