ags,ac,al,dv
13071010,4,60 bis 74,9.0
13071019,4,60 bis 74,7.0
13071104,4,60 bis 74,6.9
13071108,4,60 bis 74,14.0
13071111,4,60 bis 74,13.1
13071140,4,60 bis 74,9.6
13071141,4,60 bis 74,12.4
13071145,4,60 bis 74,15.8
13071161,4,60 bis 74,17.6
13071166,4,60 bis 74,11.8
13071170,4,60 bis 74,5.7
13071005,4,60 bis 74,10.8
13071101,4,60 bis 74,4.9
13071115,4,60 bis 74,6.4
13071173,3,40 bis 59,5.4
13071003,4,60 bis 74,7.4
13071013,4,60 bis 74,10.1
13071023,3,40 bis 59,5.2
13071034,4,60 bis 74,6.1
13071045,3,40 bis 59,8.3
13071087,4,60 bis 74,8.4
13071088,4,60 bis 74,9.8
13071097,4,60 bis 74,9.3
13071118,4,60 bis 74,5.6
13071122,4,60 bis 74,11.5
13071124,4,60 bis 74,6.9
13071133,4,60 bis 74,11.5
13071137,3,40 bis 59,7.8
13071175,4,60 bis 74,9.8
13071176,4,60 bis 74,9.8
13071047,3,40 bis 59,5.3
13071056,4,60 bis 74,6.2
13071063,4,60 bis 74,9.9
13071069,4,60 bis 74,7.1
13071071,3,40 bis 59,5.3
13071077,4,60 bis 74,7.3
13071078,4,60 bis 74,6.5
13071103,4,60 bis 74,8.7
13071144,4,60 bis 74,5.1
13071154,4,60 bis 74,11.0
13071172,3,40 bis 59,7.8
13071174,3,40 bis 59,5.4
13071021,4,60 bis 74,6.2
13071026,4,60 bis 74,7.5
13071055,4,60 bis 74,10.3
13071067,4,60 bis 74,9.9
13071090,4,60 bis 74,3.6
13071117,1,unter 18,8.0
13071015,4,60 bis 74,4.4
13071018,4,60 bis 74,10.0
13071048,4,60 bis 74,10.6
13071060,4,60 bis 74,7.8
13071068,4,60 bis 74,7.8
13071070,1,unter 18,2.1
13071074,4,60 bis 74,6.8
13071079,3,40 bis 59,7.2
13071102,4,60 bis 74,3.7
13071123,4,60 bis 74,9.4
13071127,4,60 bis 74,7.5
13071142,4,60 bis 74,10.2
13071169,4,60 bis 74,8.3
13071002,4,60 bis 74,3.6
13071004,4,60 bis 74,8.7
13071006,4,60 bis 74,5.9
13071016,4,60 bis 74,4.4
13071022,4,60 bis 74,10.4
13071044,4,60 bis 74,7.6
13071049,3,40 bis 59,5.1
13071050,4,60 bis 74,6.5
13071057,4,60 bis 74,10.2
13071059,4,60 bis 74,3.9
13071081,4,60 bis 74,6.4
13071120,4,60 bis 74,4.0
13071125,4,60 bis 74,6.4
13071135,4,60 bis 74,7.1
13071146,4,60 bis 74,7.4
13071158,4,60 bis 74,9.6
13071160,4,60 bis 74,5.0
13071163,4,60 bis 74,5.0
13071054,4,60 bis 74,6.5
13071105,3,40 bis 59,7.3
13071130,4,60 bis 74,5.1
13071132,4,60 bis 74,10.8
13071164,4,60 bis 74,7.8
13072006,5,75 und älter,3.5
13072029,4,60 bis 74,3.7
13072036,5,75 und älter,13.3
13072043,5,75 und älter,4.0
13072058,4,60 bis 74,4.6
13072060,4,60 bis 74,9.6
13072074,4,60 bis 74,8.3
13072091,4,60 bis 74,3.2
13072093,1,unter 18,3.4
13072106,4,60 bis 74,6.7
13072001,4,60 bis 74,6.2
13072007,4,60 bis 74,6.5
13072017,4,60 bis 74,8.5
13072047,3,40 bis 59,5.1
13072075,4,60 bis 74,5.8
13072083,3,40 bis 59,7.4
13072086,4,60 bis 74,6.1
13072099,4,60 bis 74,4.9
13072117,3,40 bis 59,5.8
13072009,3,40 bis 59,5.8
13072013,3,40 bis 59,5.5
13072020,5,75 und älter,6.4
13072028,4,60 bis 74,7.8
13072050,4,60 bis 74,3.7
13072053,3,40 bis 59,4.5
13072089,3,40 bis 59,5.9
13072101,4,60 bis 74,7.2
13072104,4,60 bis 74,4.7
13072114,4,60 bis 74,8.1
13072120,1,unter 18,4.7
13072019,4,60 bis 74,7.5
13072081,4,60 bis 74,10.5
13072087,4,60 bis 74,10.4
13072108,1,unter 18,8.3
13072004,3,40 bis 59,2.7
13072010,4,60 bis 74,7.1
13072031,4,60 bis 74,3.1
13072035,4,60 bis 74,7.8
13072111,4,60 bis 74,6.8
13072033,3,40 bis 59,6.4
13072039,3,40 bis 59,8.0
13072042,4,60 bis 74,6.9
13072044,4,60 bis 74,7.0
13072061,3,40 bis 59,9.5
13072067,4,60 bis 74,5.2
13072069,4,60 bis 74,9.2
13072071,3,40 bis 59,9.5
13072073,4,60 bis 74,9.2
13072079,4,60 bis 74,6.9
13072084,4,60 bis 74,5.7
13072092,4,60 bis 74,6.5
13072119,4,60 bis 74,10.0
13072026,4,60 bis 74,6.4
13072048,4,60 bis 74,8.8
13072056,4,60 bis 74,7.7
13072059,4,60 bis 74,5.9
13072063,4,60 bis 74,5.2
13072027,3,40 bis 59,4.9
13072046,3,40 bis 59,3.9
13072062,4,60 bis 74,2.8
13072112,3,40 bis 59,6.4
13072003,4,60 bis 74,10.2
13072023,4,60 bis 74,8.4
13072038,3,40 bis 59,6.7
13072040,4,60 bis 74,5.6
13072041,4,60 bis 74,4.3
13072045,4,60 bis 74,8.4
13072049,1,unter 18,5.9
13072066,4,60 bis 74,7.4
13072082,1,unter 18,6.0
13072094,4,60 bis 74,5.0
13072096,4,60 bis 74,8.8
13072103,3,40 bis 59,4.8
13072109,4,60 bis 74,9.1
13072002,4,60 bis 74,4.1
13072005,4,60 bis 74,9.4
13072008,3,40 bis 59,6.6
13072014,4,60 bis 74,6.3
13072022,3,40 bis 59,7.9
13072085,4,60 bis 74,8.2
13072012,3,40 bis 59,4.6
13072015,3,40 bis 59,5.0
13072032,4,60 bis 74,6.6
13072072,3,40 bis 59,5.1
13072088,4,60 bis 74,5.0
13072011,4,60 bis 74,7.5
13072018,1,unter 18,9.4
13072051,3,40 bis 59,6.4
13072090,1,unter 18,4.8
13072095,4,60 bis 74,5.8
13072110,1,unter 18,6.4
13072116,3,40 bis 59,6.8
13072021,1,unter 18,4.5
13072034,1,unter 18,7.9
13072076,1,unter 18,3.2
13072097,3,40 bis 59,4.2
13072102,3,40 bis 59,12.0
13072105,4,60 bis 74,4.3
13072107,4,60 bis 74,7.5
13072118,1,unter 18,5.0
13072030,4,60 bis 74,9.9
13072057,1,unter 18,6.0
13072064,4,60 bis 74,9.6
13072077,3,40 bis 59,9.2
13072080,3,40 bis 59,8.1
13072098,4,60 bis 74,7.1
13072121,3,40 bis 59,7.6
13073011,4,60 bis 74,11.3
13073035,5,75 und älter,7.0
13073055,4,60 bis 74,6.3
13073070,4,60 bis 74,9.0
13073080,4,60 bis 74,8.8
13073088,5,75 und älter,4.0
13073089,4,60 bis 74,6.5
13073105,5,75 und älter,9.1
13073005,1,unter 18,4.4
13073037,3,40 bis 59,6.4
13073044,4,60 bis 74,6.4
13073046,4,60 bis 74,4.1
13073066,4,60 bis 74,5.7
13073068,4,60 bis 74,4.0
13073009,4,60 bis 74,7.4
13073018,4,60 bis 74,6.1
13073025,4,60 bis 74,10.6
13073043,4,60 bis 74,7.8
13073051,4,60 bis 74,7.5
13073053,4,60 bis 74,3.9
13073069,4,60 bis 74,10.6
13073077,4,60 bis 74,8.7
13073094,4,60 bis 74,5.1
13073010,4,60 bis 74,5.7
13073014,3,40 bis 59,6.8
13073027,4,60 bis 74,9.8
13073038,4,60 bis 74,7.2
13073049,4,60 bis 74,10.9
13073063,4,60 bis 74,6.8
13073064,3,40 bis 59,6.3
13073065,4,60 bis 74,6.4
13073072,4,60 bis 74,8.6
13073074,3,40 bis 59,7.1
13073083,4,60 bis 74,7.4
13073002,5,75 und älter,12.2
13073012,4,60 bis 74,8.8
13073017,4,60 bis 74,7.7
13073067,4,60 bis 74,12.2
13073100,4,60 bis 74,8.0
13073103,5,75 und älter,11.7
13073024,4,60 bis 74,6.0
13073029,3,40 bis 59,7.0
13073034,4,60 bis 74,7.6
13073057,4,60 bis 74,4.5
13073062,3,40 bis 59,4.9
13073076,4,60 bis 74,6.0
13073086,4,60 bis 74,6.2
13073096,4,60 bis 74,7.7
13073097,4,60 bis 74,7.0
13073098,3,40 bis 59,5.5
13073023,3,40 bis 59,9.2
13073090,4,60 bis 74,6.6
13073102,3,40 bis 59,5.0
13073006,4,60 bis 74,8.4
13073031,4,60 bis 74,5.4
13073048,4,60 bis 74,8.1
13073084,4,60 bis 74,5.1
13073106,4,60 bis 74,8.1
13073107,4,60 bis 74,9.8
13073036,4,60 bis 74,9.2
13073041,3,40 bis 59,6.2
13073054,4,60 bis 74,14.4
13073060,4,60 bis 74,4.5
13073061,3,40 bis 59,5.7
13073087,4,60 bis 74,10.0
13073099,4,60 bis 74,15.2
13073104,4,60 bis 74,6.0
13073004,4,60 bis 74,8.9
13073013,4,60 bis 74,13.6
13073019,4,60 bis 74,15.9
13073030,4,60 bis 74,13.8
13073052,4,60 bis 74,12.5
13073078,4,60 bis 74,9.4
13073101,4,60 bis 74,10.9
13073007,4,60 bis 74,5.5
13073015,4,60 bis 74,5.9
13073016,3,40 bis 59,7.9
13073022,3,40 bis 59,6.7
13073032,4,60 bis 74,9.1
13073033,4,60 bis 74,10.2
13073050,4,60 bis 74,7.5
13073093,4,60 bis 74,5.8
13073001,4,60 bis 74,5.4
13073075,4,60 bis 74,6.7
13073082,4,60 bis 74,6.5
13073085,4,60 bis 74,9.3
13073003,4,60 bis 74,8.5
13073021,4,60 bis 74,7.1
13073028,4,60 bis 74,7.7
13073040,4,60 bis 74,12.3
13073045,3,40 bis 59,7.9
13073073,3,40 bis 59,4.7
13073079,4,60 bis 74,4.6
13073081,4,60 bis 74,9.1
13073092,4,60 bis 74,8.5
13073095,4,60 bis 74,14.1
13074026,5,75 und älter,4.8
13074035,4,60 bis 74,11.7
13074087,5,75 und älter,3.5
13074002,4,60 bis 74,6.0
13074003,4,60 bis 74,14.6
13074008,4,60 bis 74,5.1
13074019,4,60 bis 74,4.5
13074030,4,60 bis 74,11.1
13074031,4,60 bis 74,4.6
13074047,4,60 bis 74,6.1
13074053,4,60 bis 74,4.8
13074082,4,60 bis 74,3.3
13074020,4,60 bis 74,10.2
13074021,4,60 bis 74,4.9
13074040,4,60 bis 74,5.4
13074043,4,60 bis 74,4.7
13074054,3,40 bis 59,5.0
13074068,1,unter 18,2.9
13074070,4,60 bis 74,6.3
13074081,5,75 und älter,5.4
13074005,4,60 bis 74,3.1
13074022,4,60 bis 74,8.8
13074069,3,40 bis 59,7.5
13074071,3,40 bis 59,4.9
13074077,3,40 bis 59,6.0
13074079,1,unter 18,3.7
13074085,4,60 bis 74,5.6
13074093,3,40 bis 59,4.8
13074010,4,60 bis 74,10.6
13074016,4,60 bis 74,7.7
13074032,3,40 bis 59,4.5
13074037,4,60 bis 74,6.6
13074039,4,60 bis 74,5.4
13074089,4,60 bis 74,7.6
13074001,4,60 bis 74,6.6
13074012,4,60 bis 74,8.5
13074014,4,60 bis 74,9.9
13074015,4,60 bis 74,8.3
13074024,4,60 bis 74,5.5
13074025,4,60 bis 74,9.9
13074038,1,unter 18,6.5
13074048,4,60 bis 74,10.3
13074050,4,60 bis 74,4.4
13074061,3,40 bis 59,7.3
13074062,4,60 bis 74,10.6
13074064,4,60 bis 74,7.2
13074072,3,40 bis 59,6.4
13074075,4,60 bis 74,9.8
13074088,4,60 bis 74,6.3
13074004,5,75 und älter,5.2
13074007,1,unter 18,4.7
13074009,4,60 bis 74,8.0
13074034,1,unter 18,5.3
13074044,1,unter 18,5.5
13074056,4,60 bis 74,5.0
13074006,4,60 bis 74,18.9
13074023,3,40 bis 59,4.0
13074036,1,unter 18,5.1
13074046,4,60 bis 74,4.0
13074057,4,60 bis 74,5.1
13074060,1,unter 18,6.7
13074084,4,60 bis 74,8.5
13074090,3,40 bis 59,7.3
13074091,3,40 bis 59,10.4
13074013,3,40 bis 59,2.7
13074028,4,60 bis 74,6.5
13074033,1,unter 18,5.5
13074042,3,40 bis 59,5.0
13074065,4,60 bis 74,1.6
13074066,3,40 bis 59,8.1
13074073,3,40 bis 59,3.8
13074078,3,40 bis 59,3.6
13074080,3,40 bis 59,6.9
13074092,1,unter 18,3.0
13074017,4,60 bis 74,6.0
13074027,3,40 bis 59,5.8
13074049,3,40 bis 59,7.3
13074052,3,40 bis 59,11.7
13074067,1,unter 18,3.0
13074074,4,60 bis 74,1.7
13074076,1,unter 18,6.2
13074094,3,40 bis 59,5.5
13075005,4,60 bis 74,8.1
13075039,2,19 bis 39,7.6
13075049,4,60 bis 74,10.0
13075105,4,60 bis 74,6.3
13075130,4,60 bis 74,8.9
13075136,4,60 bis 74,9.4
13075021,4,60 bis 74,11.4
13075072,4,60 bis 74,14.1
13075074,4,60 bis 74,13.2
13075087,4,60 bis 74,9.2
13075124,4,60 bis 74,9.8
13075144,4,60 bis 74,6.2
13075147,4,60 bis 74,6.4
13075001,4,60 bis 74,9.7
13075003,4,60 bis 74,19.7
13075031,4,60 bis 74,9.8
13075037,4,60 bis 74,11.5
13075051,3,40 bis 59,8.9
13075075,4,60 bis 74,11.9
13075078,4,60 bis 74,12.2
13075084,4,60 bis 74,8.2
13075085,4,60 bis 74,9.1
13075089,4,60 bis 74,9.7
13075093,4,60 bis 74,12.9
13075139,4,60 bis 74,14.7
13075013,3,40 bis 59,9.2
13075015,4,60 bis 74,12.8
13075022,4,60 bis 74,11.2
13075029,4,60 bis 74,8.2
13075053,4,60 bis 74,6.2
13075068,4,60 bis 74,7.8
13075073,5,75 und älter,4.8
13075088,4,60 bis 74,10.8
13075098,4,60 bis 74,10.7
13075101,4,60 bis 74,5.6
13075110,4,60 bis 74,12.3
13075122,4,60 bis 74,7.6
13075127,4,60 bis 74,7.5
13075155,4,60 bis 74,5.8
13075002,4,60 bis 74,5.0
13075009,4,60 bis 74,3.4
13075023,1,unter 18,4.2
13075054,4,60 bis 74,6.1
13075070,4,60 bis 74,7.7
13075134,4,60 bis 74,10.3
13075140,5,75 und älter,3.3
13075008,3,40 bis 59,3.4
13075025,3,40 bis 59,9.9
13075027,1,unter 18,6.0
13075050,1,unter 18,5.4
13075076,4,60 bis 74,4.2
13075091,4,60 bis 74,8.3
13075102,4,60 bis 74,6.8
13075141,4,60 bis 74,4.6
13075142,4,60 bis 74,9.7
13075011,3,40 bis 59,5.5
13075012,4,60 bis 74,10.8
13075016,4,60 bis 74,7.9
13075038,4,60 bis 74,7.6
13075067,4,60 bis 74,8.1
13075079,4,60 bis 74,6.9
13075095,1,unter 18,4.8
13075107,4,60 bis 74,5.4
13075113,1,unter 18,7.2
13075117,1,unter 18,6.9
13075119,4,60 bis 74,8.7
13075018,4,60 bis 74,4.3
13075046,4,60 bis 74,8.8
13075059,4,60 bis 74,5.2
13075060,4,60 bis 74,5.9
13075069,4,60 bis 74,10.1
13075081,4,60 bis 74,12.7
13075083,4,60 bis 74,12.9
13075097,4,60 bis 74,6.4
13075120,4,60 bis 74,6.8
13075146,4,60 bis 74,10.7
13075036,3,40 bis 59,7.0
13075082,4,60 bis 74,6.6
13075123,3,40 bis 59,5.3
13075004,4,60 bis 74,10.1
13075033,4,60 bis 74,10.0
13075045,4,60 bis 74,9.2
13075048,4,60 bis 74,9.6
13075118,4,60 bis 74,11.0
13075131,4,60 bis 74,6.1
13075143,4,60 bis 74,9.3
13075017,5,75 und älter,7.2
13075032,4,60 bis 74,10.5
13075042,1,unter 18,12.3
13075055,4,60 bis 74,9.9
13075071,4,60 bis 74,10.7
13075103,4,60 bis 74,11.2
13075109,4,60 bis 74,7.7
13075115,4,60 bis 74,10.8
13075126,4,60 bis 74,9.7
13075138,4,60 bis 74,7.8
13075149,4,60 bis 74,3.5
13075058,4,60 bis 74,13.1
13075092,4,60 bis 74,9.4
13075106,4,60 bis 74,11.7
13075133,4,60 bis 74,13.4
13075151,4,60 bis 74,10.8
13075010,4,60 bis 74,5.8
13075026,4,60 bis 74,11.8
13075034,4,60 bis 74,5.5
13075065,3,40 bis 59,4.1
13075066,5,75 und älter,9.2
13075080,4,60 bis 74,11.3
13075090,4,60 bis 74,10.7
13075111,4,60 bis 74,3.9
13075114,4,60 bis 74,16.6
13075129,4,60 bis 74,12.0
13075135,4,60 bis 74,6.5
13075137,4,60 bis 74,8.9
13075148,4,60 bis 74,8.8
13075152,4,60 bis 74,10.3
13075006,1,unter 18,3.7
13075040,3,40 bis 59,5.1
13075041,4,60 bis 74,4.4
13075043,4,60 bis 74,9.1
13075044,4,60 bis 74,4.4
13075061,3,40 bis 59,5.7
13075094,4,60 bis 74,9.4
13075121,4,60 bis 74,8.4
13075125,3,40 bis 59,5.2
13075145,1,unter 18,11.2
13075150,4,60 bis 74,6.8
13075154,4,60 bis 74,6.8
13075156,3,40 bis 59,2.3
13076014,4,60 bis 74,2.7
13076060,4,60 bis 74,2.2
13076088,4,60 bis 74,3.1
13076090,4,60 bis 74,4.2
13076108,4,60 bis 74,5.3
13076009,3,40 bis 59,7.5
13076010,4,60 bis 74,4.6
13076016,3,40 bis 59,6.6
13076030,4,60 bis 74,3.6
13076054,4,60 bis 74,4.9
13076055,3,40 bis 59,6.0
13076102,3,40 bis 59,8.0
13076106,1,unter 18,10.9
13076122,3,40 bis 59,8.0
13076136,3,40 bis 59,8.3
13076138,3,40 bis 59,8.3
13076034,4,60 bis 74,7.2
13076053,4,60 bis 74,9.2
13076067,4,60 bis 74,13.4
13076093,4,60 bis 74,13.8
13076094,4,60 bis 74,7.1
13076103,4,60 bis 74,5.4
13076143,4,60 bis 74,10.2
13076040,4,60 bis 74,7.3
13076075,4,60 bis 74,13.4
13076077,4,60 bis 74,8.2
13076089,4,60 bis 74,8.0
13076109,4,60 bis 74,9.0
13076125,4,60 bis 74,10.4
13076151,4,60 bis 74,9.1
13076165,3,40 bis 59,3.9
13076168,4,60 bis 74,6.0
13076032,4,60 bis 74,11.3
13076048,4,60 bis 74,10.5
13076096,4,60 bis 74,8.0
13076104,4,60 bis 74,10.5
13076135,3,40 bis 59,5.4
13076003,4,60 bis 74,5.3
13076021,4,60 bis 74,7.1
13076027,3,40 bis 59,8.3
13076037,4,60 bis 74,10.9
13076049,4,60 bis 74,8.4
13076050,4,60 bis 74,6.0
13076069,4,60 bis 74,5.4
13076076,4,60 bis 74,7.2
13076097,4,60 bis 74,7.6
13076098,4,60 bis 74,6.7
13076100,4,60 bis 74,8.3
13076115,4,60 bis 74,11.9
13076161,4,60 bis 74,8.1
13076002,4,60 bis 74,8.0
13076004,4,60 bis 74,3.5
13076013,3,40 bis 59,4.8
13076019,4,60 bis 74,3.5
13076041,3,40 bis 59,6.8
13076057,4,60 bis 74,4.6
13076064,3,40 bis 59,3.6
13076065,3,40 bis 59,6.5
13076070,4,60 bis 74,6.2
13076079,4,60 bis 74,9.7
13076099,4,60 bis 74,9.0
13076110,4,60 bis 74,6.0
13076111,4,60 bis 74,6.5
13076116,3,40 bis 59,4.3
13076119,4,60 bis 74,4.5
13076131,3,40 bis 59,7.8
13076145,3,40 bis 59,6.4
13076169,4,60 bis 74,8.1
13076001,5,75 und älter,6.3
13076046,4,60 bis 74,14.4
13076058,4,60 bis 74,6.9
13076086,4,60 bis 74,10.5
13076087,4,60 bis 74,7.7
13076118,4,60 bis 74,3.3
13076134,4,60 bis 74,8.1
13076141,4,60 bis 74,3.7
13076146,3,40 bis 59,3.9
13076156,4,60 bis 74,6.0
13076012,4,60 bis 74,9.7
13076017,4,60 bis 74,7.6
13076105,4,60 bis 74,3.9
13076035,3,40 bis 59,6.2
13076056,3,40 bis 59,4.9
13076068,4,60 bis 74,6.5
13076085,4,60 bis 74,7.9
13076120,4,60 bis 74,5.0
13076126,4,60 bis 74,10.0
13076129,4,60 bis 74,10.9
13076160,4,60 bis 74,6.2
13076162,4,60 bis 74,8.0
13076164,4,60 bis 74,9.6
13076006,3,40 bis 59,4.6
13076114,4,60 bis 74,9.0
13076166,4,60 bis 74,8.3
13076011,4,60 bis 74,11.4
13076015,4,60 bis 74,8.9
13076020,4,60 bis 74,6.9
13076026,4,60 bis 74,10.7
13076062,4,60 bis 74,8.9
13076072,3,40 bis 59,7.2
13076078,4,60 bis 74,7.2
13076101,4,60 bis 74,8.0
13076128,4,60 bis 74,8.2
13076148,4,60 bis 74,9.9
13076155,4,60 bis 74,7.9
13076167,4,60 bis 74,6.0
13076036,1,unter 18,3.4
13076063,1,unter 18,5.1
13076071,4,60 bis 74,6.0
13076107,4,60 bis 74,7.8
13076121,3,40 bis 59,5.1
13076130,3,40 bis 59,4.8
13076147,4,60 bis 74,3.9
13076154,4,60 bis 74,15.0
13076152,3,40 bis 59,1.6
13076153,3,40 bis 59,5.0
13076039,3,40 bis 59,5.6
13076073,4,60 bis 74,5.7
13076092,3,40 bis 59,6.8
13076142,4,60 bis 74,3.7
13076159,3,40 bis 59,2.6
13076005,4,60 bis 74,7.2
13076007,4,60 bis 74,5.3
13076023,4,60 bis 74,7.1
13076024,3,40 bis 59,7.8
13076025,4,60 bis 74,6.3
13076029,4,60 bis 74,9.5
13076033,3,40 bis 59,4.8
13076038,3,40 bis 59,3.4
13076044,4,60 bis 74,11.4
13076080,4,60 bis 74,11.2
13076082,4,60 bis 74,9.0
13076112,4,60 bis 74,12.8
13076113,4,60 bis 74,12.5
13076117,4,60 bis 74,8.1
13076133,4,60 bis 74,6.9
13076140,4,60 bis 74,9.6
13076158,3,40 bis 59,6.5
14511000,5,75 und älter,4.1
14521010,4,60 bis 74,5.0
14521020,4,60 bis 74,5.5
14521035,5,75 und älter,5.3
14521110,4,60 bis 74,9.4
14521130,4,60 bis 74,6.0
14521150,4,60 bis 74,5.0
14521160,4,60 bis 74,6.1
14521170,4,60 bis 74,8.6
14521200,4,60 bis 74,5.0
14521240,4,60 bis 74,6.2
14521250,4,60 bis 74,5.5
14521260,4,60 bis 74,5.7
14521290,5,75 und älter,4.3
14521310,4,60 bis 74,7.2
14521320,4,60 bis 74,9.9
14521330,4,60 bis 74,8.4
14521355,4,60 bis 74,5.3
14521370,4,60 bis 74,7.7
14521390,4,60 bis 74,7.6
14521400,4,60 bis 74,7.2
14521410,4,60 bis 74,5.5
14521440,4,60 bis 74,12.4
14521450,4,60 bis 74,3.6
14521460,4,60 bis 74,6.6
14521495,4,60 bis 74,6.0
14521500,4,60 bis 74,9.1
14521530,4,60 bis 74,8.0
14521540,4,60 bis 74,8.3
14521550,4,60 bis 74,8.2
14521560,4,60 bis 74,6.6
14521600,4,60 bis 74,8.5
14521620,4,60 bis 74,7.5
14521630,4,60 bis 74,4.9
14521640,4,60 bis 74,5.0
14521670,4,60 bis 74,5.8
14521060,4,60 bis 74,6.3
14521340,4,60 bis 74,3.5
14521040,4,60 bis 74,5.7
14521120,4,60 bis 74,4.4
14521230,4,60 bis 74,3.4
14521210,4,60 bis 74,7.5
14521610,4,60 bis 74,5.5
14521380,4,60 bis 74,6.9
14521430,4,60 bis 74,5.8
14521510,4,60 bis 74,5.7
14521520,4,60 bis 74,6.4
14521140,4,60 bis 74,8.7
14521280,4,60 bis 74,6.3
14521570,4,60 bis 74,7.3
14521420,4,60 bis 74,6.8
14521590,5,75 und älter,5.0
14521220,4,60 bis 74,4.8
14521690,4,60 bis 74,6.9
14521080,4,60 bis 74,8.9
14521700,4,60 bis 74,6.7
14521180,4,60 bis 74,7.6
14521710,4,60 bis 74,6.4
14521090,4,60 bis 74,4.2
14521270,5,75 und älter,3.7
14522020,5,75 und älter,5.6
14522035,3,40 bis 59,3.0
14522050,4,60 bis 74,6.9
14522070,4,60 bis 74,5.1
14522080,4,60 bis 74,3.9
14522110,4,60 bis 74,5.5
14522120,4,60 bis 74,5.6
14522140,4,60 bis 74,7.8
14522150,4,60 bis 74,4.5
14522170,4,60 bis 74,7.9
14522180,5,75 und älter,4.8
14522190,4,60 bis 74,5.2
14522200,4,60 bis 74,5.3
14522210,4,60 bis 74,4.9
14522220,4,60 bis 74,5.5
14522230,5,75 und älter,4.0
14522240,4,60 bis 74,3.9
14522250,4,60 bis 74,7.3
14522260,4,60 bis 74,5.3
14522290,4,60 bis 74,3.2
14522300,4,60 bis 74,8.4
14522310,5,75 und älter,4.8
14522320,4,60 bis 74,3.8
14522330,4,60 bis 74,5.1
14522350,4,60 bis 74,8.0
14522390,4,60 bis 74,4.3
14522400,4,60 bis 74,7.9
14522420,4,60 bis 74,4.7
14522430,4,60 bis 74,3.2
14522440,4,60 bis 74,3.9
14522460,4,60 bis 74,6.2
14522470,4,60 bis 74,9.7
14522480,1,unter 18,2.7
14522500,4,60 bis 74,4.8
14522510,4,60 bis 74,4.4
14522540,4,60 bis 74,4.6
14522570,5,75 und älter,3.5
14522580,4,60 bis 74,4.5
14522060,5,75 und älter,5.5
14522380,4,60 bis 74,4.0
14522550,4,60 bis 74,4.2
14522340,4,60 bis 74,4.5
14522590,4,60 bis 74,5.5
14522010,4,60 bis 74,5.2
14522360,5,75 und älter,5.7
14522450,4,60 bis 74,7.8
14522620,4,60 bis 74,5.9
14522280,4,60 bis 74,8.2
14522490,5,75 und älter,7.6
14522530,4,60 bis 74,9.3
14522600,4,60 bis 74,9.6
14522090,4,60 bis 74,5.2
14522520,5,75 und älter,7.0
14523010,4,60 bis 74,7.3
14523020,4,60 bis 74,6.9
14523030,4,60 bis 74,10.9
14523040,5,75 und älter,8.8
14523090,4,60 bis 74,3.9
14523100,4,60 bis 74,7.5
14523160,4,60 bis 74,10.7
14523170,4,60 bis 74,6.3
14523200,4,60 bis 74,5.3
14523245,4,60 bis 74,11.2
14523280,4,60 bis 74,4.8
14523310,4,60 bis 74,7.3
14523320,5,75 und älter,4.5
14523330,4,60 bis 74,6.1
14523360,5,75 und älter,6.1
14523365,4,60 bis 74,8.8
14523380,4,60 bis 74,6.1
14523450,4,60 bis 74,4.6
14523120,5,75 und älter,7.1
14523130,5,75 und älter,6.6
14523290,4,60 bis 74,8.9
14523190,4,60 bis 74,5.2
14523260,5,75 und älter,8.5
14523060,4,60 bis 74,4.5
14523080,4,60 bis 74,8.6
14523300,4,60 bis 74,5.9
14523440,4,60 bis 74,5.6
14523150,4,60 bis 74,7.0
14523340,5,75 und älter,6.7
14523230,4,60 bis 74,6.5
14523370,4,60 bis 74,5.7
14523270,4,60 bis 74,8.8
14523430,4,60 bis 74,4.8
14523050,4,60 bis 74,7.0
14523410,4,60 bis 74,7.3
14523420,4,60 bis 74,7.5
14523460,4,60 bis 74,5.8
14524020,4,60 bis 74,4.6
14524060,4,60 bis 74,6.4
14524070,4,60 bis 74,8.1
14524080,5,75 und älter,5.3
14524090,4,60 bis 74,4.0
14524120,5,75 und älter,6.1
14524140,4,60 bis 74,4.8
14524150,4,60 bis 74,4.0
14524170,4,60 bis 74,5.1
14524200,4,60 bis 74,6.9
14524210,4,60 bis 74,6.0
14524230,4,60 bis 74,7.2
14524250,4,60 bis 74,5.1
14524300,4,60 bis 74,4.2
14524310,4,60 bis 74,5.8
14524320,5,75 und älter,5.5
14524330,5,75 und älter,4.3
14524030,4,60 bis 74,4.1
14524050,4,60 bis 74,8.1
14524040,4,60 bis 74,5.9
14524100,4,60 bis 74,4.0
14524110,4,60 bis 74,6.2
14524130,4,60 bis 74,7.4
14524180,5,75 und älter,4.2
14524220,4,60 bis 74,6.5
14524190,5,75 und älter,6.2
14524270,4,60 bis 74,5.3
14524010,4,60 bis 74,7.8
14524160,5,75 und älter,6.6
14524280,4,60 bis 74,4.7
14524240,4,60 bis 74,2.5
14524260,4,60 bis 74,6.6
14524290,5,75 und älter,4.5
14612000,2,19 bis 39,4.3
14625010,4,60 bis 74,2.9
14625020,5,75 und älter,4.7
14625030,4,60 bis 74,4.9
14625060,4,60 bis 74,5.3
14625090,5,75 und älter,5.7
14625100,4,60 bis 74,5.8
14625110,4,60 bis 74,3.7
14625120,4,60 bis 74,8.9
14625130,4,60 bis 74,4.3
14625150,4,60 bis 74,5.3
